                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.4092,                 1.0089,                 1.2664,                0.71909,                 0.7652,                0.79233,                0.48883,                 1.3665,                 1.1045,                  1.317,               0.006634,               0.006634,               0.006634
                     37,                 1.3848,                0.99441,                 1.2578,                0.78424,                0.82295,                0.87373,                0.53844,                  1.394,                0.93855,                 1.3242,               0.006535,               0.006535,               0.006535
                     38,                 1.4096,                 1.0312,                 1.2711,                0.82912,                0.81342,                 0.8885,                0.55687,                 1.3464,                0.88447,                 1.3062,               0.006436,               0.006436,               0.006436
                     39,                 1.3842,                0.98706,                 1.2633,                0.83724,                0.79455,                0.89134,                0.56495,                 1.2759,                 0.8654,                 1.2562,               0.006337,               0.006337,               0.006337
                     40,                 1.3822,                0.98703,                 1.2522,                0.78393,                0.85187,                0.89172,                0.55319,                 1.2973,                0.85722,                 1.2756,               0.006238,               0.006238,               0.006238
                     41,                 1.3882,                0.98204,                 1.2573,                0.78772,                0.84016,                0.88253,                0.54893,                 1.3129,                 0.8826,                 1.2935,               0.006139,               0.006139,               0.006139
                     42,                 1.3831,                0.96653,                 1.2483,                 0.8154,                0.75932,                0.86493,                0.52926,                 1.3345,                0.92638,                 1.2891,                0.00604,                0.00604,                0.00604
                     43,                  1.375,                0.97151,                 1.2561,                0.77501,                0.75824,                0.84249,                0.52678,                 1.3264,                0.95955,                 1.3118,               0.005941,               0.005941,               0.005941
                     44,                 1.3665,                0.94091,                 1.2499,                0.82433,                0.84067,                0.90418,                0.57304,                 1.2912,                0.84171,                  1.263,               0.005842,               0.005842,               0.005842
                     45,                 1.3638,                 0.9426,                  1.253,                0.73665,                0.75262,                0.79789,                0.48001,                 1.3925,                0.99906,                 1.3671,               0.005743,               0.005743,               0.005743
                     46,                  1.381,                0.96665,                 1.2573,                0.79949,                0.84486,                0.89225,                0.56913,                 1.2675,                0.84977,                 1.2575,               0.005644,               0.005644,               0.005644
                     47,                 1.3475,                0.91571,                 1.2336,                 0.7864,                 0.8336,                0.86787,                0.54333,                 1.2858,                0.88848,                 1.2712,               0.005545,               0.005545,               0.005545
                     48,                 1.3442,                0.92482,                 1.2258,                0.80819,                0.81342,                0.86124,                0.52974,                 1.3173,                0.88211,                 1.2646,               0.005446,               0.005446,               0.005446
                     49,                 1.3461,                0.91931,                 1.2359,                0.80909,                0.84277,                0.88567,                0.55711,                 1.2728,                0.89248,                 1.2559,               0.005347,               0.005347,               0.005347
                     50,                 1.3316,                0.91545,                 1.2215,                0.86126,                0.80503,                0.89443,                0.56433,                 1.2798,                0.84695,                 1.2621,               0.005248,               0.005248,               0.005248
                     51,                  1.345,                0.90372,                 1.2315,                0.77941,                0.79257,                0.85848,                0.54116,                 1.3271,                0.92743,                 1.2786,               0.005149,               0.005149,               0.005149
                     52,                 1.3328,                0.91644,                 1.2234,                0.80986,                0.83045,                 0.8905,                0.54919,                 1.3349,                0.83623,                 1.2824,                0.00505,                0.00505,                0.00505
                     53,                 1.3526,                0.91166,                 1.2336,                0.78879,                0.83775,                0.85579,                0.53443,                 1.3004,                0.87607,                 1.2917,               0.004951,               0.004951,               0.004951
                     54,                 1.3097,                0.89536,                 1.2168,                0.79882,                0.84277,                0.89395,                0.57482,                 1.2617,                0.88222,                 1.2738,               0.004852,               0.004852,               0.004852
                     55,                 1.3212,                 0.8906,                  1.229,                0.82283,                0.86652,                0.92403,                0.58574,                 1.2832,                0.76783,                 1.2624,               0.004753,               0.004753,               0.004753
                     56,                 1.3107,                0.88291,                 1.2147,                0.85857,                0.85325,                0.91223,                0.57196,                 1.2716,                0.79628,                 1.2421,               0.004654,               0.004654,               0.004654
                     57,                  1.319,                0.88234,                 1.2068,                  0.847,                0.82398,                0.90416,                0.57828,                 1.2563,                0.80658,                 1.2447,               0.004555,               0.004555,               0.004555
                     58,                 1.3083,                0.86125,                 1.2103,                0.76478,                0.80713,                0.84338,                0.53143,                  1.303,                0.93659,                  1.302,               0.004456,               0.004456,               0.004456
                     59,                 1.2846,                0.86329,                 1.2043,                0.81077,                0.81742,                0.87607,                0.56458,                 1.2646,                0.85284,                 1.2442,               0.004357,               0.004357,               0.004357
                     60,                 1.3055,                0.86384,                 1.2092,                0.85633,                0.85115,                0.92317,                0.59791,                 1.2259,                0.73314,                 1.2427,               0.004258,               0.004258,               0.004258
                     61,                 1.2793,                0.83322,                 1.1967,                0.86872,                0.84623,                0.91846,                0.60525,                 1.2242,                0.74528,                  1.227,               0.004159,               0.004159,               0.004159
                     62,                 1.2763,                0.83955,                 1.1975,                0.81566,                0.84486,                0.88834,                0.57108,                 1.2228,                0.81697,                 1.2228,                0.00406,                0.00406,                0.00406
                     63,                 1.2943,                0.83309,                 1.1942,                  0.859,                0.84291,                 0.9195,                0.60491,                 1.2148,                0.72139,                 1.1936,               0.003961,               0.003961,               0.003961
                     64,                 1.2824,                0.82609,                 1.1914,                0.82002,                0.87002,                0.90766,                0.58798,                 1.2279,                0.76591,                 1.2304,               0.003862,               0.003862,               0.003862
                     65,                  1.294,                0.83719,                 1.2015,                0.80479,                0.83229,                0.88846,                0.58339,                 1.2112,                0.75841,                 1.2269,               0.003763,               0.003763,               0.003763
                     66,                 1.2803,                0.82675,                 1.1868,                0.83555,                0.87345,                0.92054,                0.60077,                 1.2244,                 0.7582,                 1.2203,               0.003664,               0.003664,               0.003664
                     67,                 1.2605,                0.82103,                 1.1806,                0.86333,                0.83648,                0.92585,                 0.6185,                 1.1968,                0.78167,                 1.2156,               0.003565,               0.003565,               0.003565
                     68,                 1.2797,                0.81435,                  1.194,                0.84395,                0.87841,                  0.925,                0.62094,                 1.1961,                 0.7098,                 1.2021,               0.003466,               0.003466,               0.003466
                     69,                 1.2634,                0.80907,                 1.1777,                0.82577,                0.86443,                0.90896,                0.59964,                 1.2219,                0.76571,                  1.238,               0.003367,               0.003367,               0.003367
                     70,                 1.2538,                0.79121,                  1.179,                0.89199,                0.84696,                0.92924,                0.63431,                 1.1636,                0.67881,                 1.1749,               0.003268,               0.003268,               0.003268
                     71,                 1.2556,                0.80305,                 1.1776,                 0.8374,                0.84486,                0.90461,                0.59591,                 1.2119,                0.74384,                  1.223,               0.003169,               0.003169,               0.003169
                     72,                 1.2461,                0.78565,                 1.1637,                0.80994,                0.90147,                0.92631,                0.61071,                 1.1879,                0.71247,                 1.1945,                0.00307,                0.00307,                0.00307
                     73,                 1.2463,                0.78706,                 1.1679,                0.86049,                0.85342,                0.91982,                0.61084,                 1.1876,                0.72207,                 1.2005,               0.002971,               0.002971,               0.002971
                     74,                 1.2253,                0.78071,                 1.1687,                0.90372,                0.83229,                0.93762,                0.63385,                 1.1572,                0.69234,                 1.1707,               0.002872,               0.002872,               0.002872
                     75,                 1.2414,                0.79712,                 1.1726,                0.88859,                0.85276,                0.92936,                0.62086,                 1.1725,                0.69924,                 1.1964,               0.002773,               0.002773,               0.002773
                     76,                 1.2146,                0.76035,                 1.1542,                0.86351,                0.86792,                 0.9296,                0.62293,                 1.1845,                0.67658,                 1.1989,               0.002674,               0.002674,               0.002674
                     77,                 1.2085,                0.76797,                 1.1561,                0.86007,                0.83857,                0.91387,                0.61172,                 1.1881,                0.71787,                  1.204,               0.002575,               0.002575,               0.002575
                     78,                 1.2099,                0.75924,                 1.1502,                0.86154,                0.88705,                0.93467,                0.63827,                 1.1542,                 0.6557,                 1.1758,               0.002476,               0.002476,               0.002476
                     79,                 1.2016,                0.74336,                 1.1508,                0.88577,                 0.8778,                0.93699,                0.63217,                 1.1425,                0.65495,                 1.1614,               0.002377,               0.002377,               0.002377
                     80,                 1.1971,                0.74407,                 1.1406,                0.90795,                0.85535,                0.94267,                0.64124,                 1.1443,                0.63372,                 1.1598,               0.002278,               0.002278,               0.002278
                     81,                  1.193,                0.73516,                 1.1366,                0.88936,                 0.8594,                0.94036,                0.64321,                 1.1437,                0.64818,                 1.1631,               0.002179,               0.002179,               0.002179
                     82,                 1.1953,                0.73247,                 1.1444,                0.86132,                 0.8805,                0.92946,                0.62765,                 1.1674,                 0.6657,                    1.2,                0.00208,                0.00208,                0.00208
                     83,                 1.1887,                0.72595,                 1.1362,                0.88068,                0.88197,                0.93668,                0.63338,                 1.1516,                0.62611,                  1.178,               0.001981,               0.001981,               0.001981
                     84,                 1.1868,                0.73027,                  1.136,                0.89193,                0.88241,                0.94403,                0.65071,                 1.1185,                0.63974,                  1.153,               0.001882,               0.001882,               0.001882
                     85,                 1.1833,                0.72094,                 1.1282,                0.87548,                0.90566,                0.94791,                0.64872,                 1.1291,                0.61843,                 1.1632,               0.001783,               0.001783,               0.001783
                     86,                 1.1865,                0.72071,                 1.1361,                 0.8694,                0.91195,                0.94893,                0.64324,                 1.1435,                0.62563,                 1.1679,               0.001684,               0.001684,               0.001684
                     87,                 1.1567,                0.70564,                 1.1157,                0.87973,                0.88938,                0.95073,                0.64741,                 1.1378,                0.62567,                 1.1557,               0.001585,               0.001585,               0.001585
                     88,                 1.1793,                0.71528,                 1.1324,                0.88648,                0.89308,                0.94376,                0.64595,                 1.1515,                0.64047,                 1.1717,               0.001486,               0.001486,               0.001486
                     89,                 1.1418,                0.68675,                 1.1108,                0.87517,                0.89658,                0.94072,                0.64954,                 1.1196,                 0.6281,                  1.146,               0.001387,               0.001387,               0.001387
                     90,                 1.1697,                0.69286,                 1.1262,                0.90075,                0.87631,                0.94821,                0.64803,                 1.1234,                0.60414,                 1.1554,               0.001288,               0.001288,               0.001288
                     91,                 1.1368,                0.67258,                 1.1199,                 0.8916,                0.90356,                0.95633,                0.66227,                 1.1168,                0.59577,                 1.1457,               0.001189,               0.001189,               0.001189
                     92,                 1.1304,                0.66116,                 1.1233,                0.88824,                0.88312,                0.94458,                0.65164,                 1.1013,                0.60272,                 1.1423,                0.00109,                0.00109,                0.00109
                     93,                 1.1031,                 0.6505,                 1.1111,                0.88477,                0.90145,                0.94496,                0.65407,                 1.1048,                0.60098,                 1.1411,               0.000991,               0.000991,               0.000991
                     94,                 1.0999,                0.64213,                 1.1015,                0.89996,                0.90776,                0.94778,                 0.6605,                 1.1019,                0.59306,                 1.1342,               0.000892,               0.000892,               0.000892
                     95,                 1.1041,                0.65297,                 1.1035,                0.89114,                0.89518,                0.94589,                0.66432,                 1.0914,                0.59025,                 1.1304,               0.000793,               0.000793,               0.000793
                     96,                 1.0973,                0.63563,                 1.0999,                0.88653,                0.90082,                  0.949,                0.66317,                 1.0802,                0.58032,                 1.1287,               0.000694,               0.000694,               0.000694
                     97,                 1.0796,                0.61751,                 1.0914,                0.90144,                0.88889,                0.94646,                0.66923,                 1.0815,                0.58166,                 1.1285,               0.000595,               0.000595,               0.000595
                     98,                 1.0815,                0.62717,                 1.0986,                 0.9029,                0.89099,                0.94393,                0.66023,                 1.0802,                0.57761,                 1.1274,               0.000496,               0.000496,               0.000496
                     99,                  1.072,                0.62004,                 1.0919,                0.91359,                0.88679,                0.94825,                0.66538,                  1.087,                0.57447,                 1.1322,               0.000397,               0.000397,               0.000397
                    100,                 1.0711,                0.61055,                 1.0862,                0.89747,                0.91756,                0.95063,                0.66868,                 1.0838,                0.56621,                 1.1291,               0.000298,               0.000298,               0.000298
