                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4751,                 2.6997,                 1.1956,                0.78742,                0.29465,                0.59591,                0.34023,                 1.3779,                 2.8863,                 1.1168,              0.0032895,              0.0032895,              0.0032895
                      2,                 1.4693,                 1.6947,                 1.1986,                0.64317,                0.68182,                0.66818,                0.37632,                 1.4308,                 1.6917,                 1.2387,               0.006601,               0.006601,               0.006601
                      3,                 1.5046,                  1.541,                 1.2233,                0.62239,                0.58807,                0.62246,                0.34175,                 1.5962,                 1.8007,                 1.3765,              0.0098904,              0.0098904,              0.0098904
                      4,                  1.625,                 1.5095,                 1.2991,                0.51091,                0.41761,                0.43334,                0.20788,                 1.8615,                 2.0737,                 1.5028,               0.009901,               0.009901,               0.009901
                      5,                 1.6034,                 1.3945,                 1.2983,                0.65906,                0.61648,                0.65382,                0.34536,                 1.5814,                  1.882,                 1.3528,               0.009901,               0.009901,               0.009901
                      6,                 1.5769,                 1.3542,                  1.308,                0.59179,                0.60131,                0.60515,                 0.3207,                 1.5655,                  1.947,                 1.3607,               0.009868,               0.009868,               0.009868
                      7,                 1.5524,                 1.2611,                  1.288,                0.56698,                0.75284,                0.65205,                0.34806,                 1.6236,                 1.5435,                 1.4116,               0.009835,               0.009835,               0.009835
                      8,                 1.5418,                 1.2107,                 1.2863,                 0.7273,                0.69318,                0.73265,                 0.3904,                 1.5905,                 1.1527,                 1.3579,               0.009802,               0.009802,               0.009802
                      9,                 1.5511,                 1.2109,                  1.299,                0.52674,                0.61648,                 0.5262,                0.26985,                 1.5819,                 1.8776,                  1.364,               0.009769,               0.009769,               0.009769
                     10,                 1.5131,                  1.169,                 1.2767,                0.65013,                 0.7017,                0.69151,                0.40112,                 1.5358,                 1.2123,                 1.3134,               0.009736,               0.009736,               0.009736
                     11,                 1.4827,                 1.1426,                 1.2453,                0.74914,                0.68466,                0.75858,                0.44122,                 1.4394,                 1.1888,                 1.2569,               0.009703,               0.009703,               0.009703
                     12,                 1.4878,                 1.1022,                 1.2545,                0.69062,                0.69034,                0.73103,                0.39546,                 1.5454,                 1.4464,                 1.3426,                0.00967,                0.00967,                0.00967
                     13,                 1.4652,                 1.1053,                  1.248,                0.73892,                0.77841,                0.78394,                 0.4612,                  1.411,                  1.035,                 1.2355,               0.009637,               0.009637,               0.009637
                     14,                 1.4696,                  1.093,                  1.252,                 0.7944,                0.72159,                0.79875,                0.48284,                 1.4365,                 1.0098,                 1.2778,               0.009604,               0.009604,               0.009604
                     15,                 1.4405,                 1.0564,                 1.2343,                0.76774,                 0.7642,                0.82455,                0.50021,                 1.4042,                0.94413,                 1.2155,               0.009571,               0.009571,               0.009571
                     16,                 1.4136,                  1.023,                 1.2151,                0.78222,                0.75284,                 0.8335,                0.50251,                 1.4945,                0.98672,                 1.2497,               0.009538,               0.009538,               0.009538
                     17,                 1.4301,                 1.0307,                 1.2231,                0.75348,                0.75542,                0.80967,                0.47324,                 1.4541,                 1.0526,                 1.2668,               0.009505,               0.009505,               0.009505
                     18,                 1.4024,                 1.0157,                 1.2166,                0.69397,                0.70221,                0.74646,                0.44528,                 1.3772,                 1.1279,                 1.2369,               0.009472,               0.009472,               0.009472
                     19,                 1.4022,                 1.0107,                 1.2095,                 0.7457,                0.73308,                0.78874,                0.44989,                 1.5082,                 1.0096,                 1.3133,               0.009439,               0.009439,               0.009439
                     20,                 1.4027,                 0.9716,                 1.2099,                0.83433,                0.80118,                0.87706,                0.55276,                 1.3542,                0.86192,                 1.1921,               0.009406,               0.009406,               0.009406
                     21,                 1.3854,                0.96126,                 1.1902,                0.81791,                0.80114,                0.87116,                 0.5378,                 1.4082,                0.89889,                 1.2169,               0.009373,               0.009373,               0.009373
                     22,                 1.3858,                 0.9574,                 1.1983,                0.80384,                0.73295,                0.83735,                0.50806,                 1.4365,                0.94997,                 1.2733,                0.00934,                0.00934,                0.00934
                     23,                 1.3551,                0.94493,                 1.1879,                0.78576,                 0.8608,                0.88694,                0.55347,                 1.3395,                0.86287,                 1.1981,               0.009307,               0.009307,               0.009307
                     24,                 1.3669,                0.92236,                 1.1871,                0.82078,                0.80667,                0.85212,                0.53137,                 1.3948,                0.88387,                 1.2249,               0.009274,               0.009274,               0.009274
                     25,                 1.3732,                0.92614,                 1.1881,                0.75137,                0.81818,                0.84546,                0.52241,                 1.3907,                0.87082,                 1.2304,               0.009241,               0.009241,               0.009241
                     26,                  1.352,                 0.9119,                 1.1808,                0.77064,                0.84952,                0.85254,                0.53546,                 1.3401,                0.88806,                 1.1902,               0.009208,               0.009208,               0.009208
                     27,                 1.3666,                0.92621,                 1.1883,                0.77906,                0.75131,                0.81735,                0.51586,                 1.3602,                0.95604,                 1.2057,               0.009175,               0.009175,               0.009175
                     28,                 1.3297,                0.89221,                 1.1655,                0.77059,                 0.7358,                0.81463,                0.49407,                 1.4288,                0.91818,                 1.2642,               0.009142,               0.009142,               0.009142
                     29,                 1.3393,                0.89466,                 1.1781,                 0.8029,                0.84375,                0.88015,                0.54875,                 1.3904,                0.82948,                 1.2356,               0.009109,               0.009109,               0.009109
                     30,                 1.3118,                0.87526,                 1.1587,                0.84609,                0.79261,                0.88855,                0.56752,                  1.316,                0.82157,                 1.1727,               0.009076,               0.009076,               0.009076
                     31,                 1.3145,                0.88836,                 1.1632,                0.89124,                0.81479,                0.90525,                0.57807,                 1.3164,                0.76618,                  1.198,               0.009043,               0.009043,               0.009043
                     32,                 1.3035,                0.84735,                 1.1535,                0.82673,                0.83239,                0.85564,                0.54103,                 1.2939,                0.81878,                 1.1816,                0.00901,                0.00901,                0.00901
                     33,                 1.3105,                 0.8637,                 1.1565,                0.80843,                0.83919,                0.87606,                0.55933,                 1.2962,                0.84676,                 1.1559,               0.008977,               0.008977,               0.008977
