                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4901,                 2.3848,                 1.2833,                0.54162,                0.51694,                 0.5191,                0.26844,                 1.5732,                 3.1805,                 1.5752,             0.00066228,             0.00066228,             0.00066228
                      2,                 1.5681,                 1.7081,                 1.3616,                0.62123,                  0.625,                0.61291,                0.33144,                 1.6132,                 1.5911,                 1.4788,              0.0013158,              0.0013158,              0.0013158
                      3,                 1.5795,                 1.5009,                 1.3687,                 0.6493,                0.62784,                0.64255,                0.34592,                 1.5521,                 1.4573,                 1.4154,              0.0019561,              0.0019561,              0.0019561
                      4,                 1.5836,                 1.4098,                  1.404,                0.67888,                0.69886,                0.74264,                0.41696,                  1.513,                  1.244,                 1.3859,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5617,                 1.3631,                 1.3801,                0.68668,                0.66477,                0.70873,                0.40492,                 1.4974,                 1.3071,                 1.4033,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5195,                 1.2781,                 1.3535,                0.70056,                0.67796,                0.73598,                0.41126,                 1.5052,                 1.1642,                 1.3788,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5316,                 1.2741,                 1.3676,                0.70669,                0.69818,                0.73164,                0.42849,                 1.4382,                 1.1372,                  1.339,               0.001901,               0.001901,               0.001901
                      8,                 1.4627,                 1.1999,                 1.3194,                0.79349,                0.72727,                0.83245,                0.50157,                 1.3801,                0.96031,                 1.2799,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.4533,                 1.1513,                 1.3063,                0.65591,                0.74732,                 0.7458,                0.44087,                 1.4352,                 1.0452,                 1.3377,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4275,                 1.1229,                 1.2991,                0.73542,                 0.7358,                0.77092,                0.44795,                 1.3762,                 1.0941,                 1.2877,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.442,                 1.1168,                 1.3085,                0.69076,                 0.6875,                0.70974,                0.41411,                 1.4153,                 1.1239,                 1.3374,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3925,                 1.0916,                 1.2814,                0.79491,                0.75852,                0.82168,                0.49195,                 1.3912,                0.96507,                 1.3107,               0.001802,               0.001802,               0.001802
