                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5374,                  2.501,                 1.2473,                0.65117,                0.71246,                 0.7052,                0.38545,                 1.4265,                 2.0312,                 1.2213,             0.00066158,             0.00066158,             0.00066158
                      2,                 1.5753,                 1.7605,                  1.308,                0.54402,                0.67088,                0.62976,                0.34584,                 1.4625,                 1.9093,                 1.2983,              0.0013239,              0.0013239,              0.0013239
                      3,                 1.6118,                 1.5419,                 1.3315,                0.48349,                0.56822,                 0.4878,                0.24915,                 1.5035,                 7.2384,                 1.3422,              0.0019817,              0.0019817,              0.0019817
                      4,                 1.6171,                  1.447,                 1.3277,                0.68306,                0.65176,                0.69491,                0.37628,                 1.5217,                 1.3729,                 1.3167,              0.0019802,              0.0019802,              0.0019802
                      5,                  1.567,                 1.3318,                 1.2987,                0.68488,                0.67412,                0.72178,                0.38442,                 1.5861,                 1.5291,                 1.3331,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.5867,                 1.3046,                 1.3169,                0.67732,                0.71885,                0.74272,                 0.4254,                 1.4369,                 1.1761,                 1.2659,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.5333,                   1.25,                 1.2873,                0.67363,                0.75835,                0.74974,                0.43119,                 1.4682,                 1.2087,                 1.2499,               0.001967,               0.001967,               0.001967
                      8,                 1.5191,                 1.1973,                  1.263,                0.72517,                 0.7476,                0.78207,                0.46561,                 1.3324,                 1.0842,                  1.183,              0.0019604,              0.0019604,              0.0019604
                      9,                  1.508,                 1.1631,                 1.2692,                  0.757,                 0.7476,                0.80269,                0.48375,                 1.3616,                 1.0422,                 1.2141,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.4679,                 1.1208,                 1.2494,                 0.7163,                0.70927,                0.76146,                 0.4505,                 1.3657,                 1.0785,                 1.2195,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.4803,                 1.1111,                 1.2521,                0.74091,                0.76358,                0.79837,                0.49609,                 1.3572,                 1.0116,                   1.19,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.4562,                 1.0832,                 1.2482,                0.78385,                0.74152,                0.84227,                 0.5282,                 1.2837,                0.99764,                 1.1694,               0.001934,               0.001934,               0.001934
                     13,                 1.4508,                 1.0736,                 1.2437,                0.72354,                0.82778,                0.81615,                0.50102,                 1.3027,                 1.0082,                 1.2085,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.4547,                 1.0895,                 1.2309,                0.77406,                0.79233,                0.84173,                0.50724,                 1.3232,                 1.0218,                 1.1946,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.4273,                 1.0648,                 1.2365,                0.76583,                0.78365,                0.82416,                0.49925,                 1.3018,                0.93302,                 1.2018,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.4217,                 1.0349,                 1.2238,                0.78077,                0.81925,                0.86487,                0.52994,                 1.2586,                0.92577,                 1.1581,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.4242,                 1.0448,                 1.2211,                0.78502,                   0.77,                0.83899,                0.52115,                 1.3614,                0.95246,                 1.2495,               0.001901,               0.001901,               0.001901
                     18,                 1.4032,                  1.016,                 1.2217,                0.73456,                0.76921,                0.78731,                0.47175,                 1.3649,                 1.0886,                 1.2278,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.3909,                0.98351,                 1.2126,                0.80939,                0.78914,                0.87047,                 0.5439,                 1.2928,                0.87504,                 1.1865,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.3856,                0.99257,                  1.213,                0.79386,                0.78744,                0.85107,                0.51739,                 1.2858,                0.92518,                 1.1738,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.3827,                0.99566,                 1.2121,                0.86964,                0.79233,                0.87982,                0.55284,                 1.2652,                 0.8445,                 1.1632,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.3869,                 0.9801,                 1.1967,                0.77982,                0.77316,                0.84867,                0.51198,                 1.3175,                0.98635,                 1.1947,               0.001868,               0.001868,               0.001868
                     23,                 1.4082,                 1.0124,                 1.2174,                0.85063,                0.78237,                0.89385,                0.57825,                 1.2265,                0.81585,                 1.1483,              0.0018614,              0.0018614,              0.0018614
                     24,                  1.368,                0.97482,                  1.202,                0.80351,                0.84923,                0.89794,                0.58392,                 1.2293,                0.86319,                 1.1424,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.3541,                0.94837,                  1.189,                0.81417,                0.79872,                0.87759,                0.54248,                 1.2594,                0.87639,                 1.1818,              0.0018482,              0.0018482,              0.0018482
