                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4845,                 3.6007,                 1.2051,                0.00417,                0.92394,                0.54084,                0.29633,                 1.2288,                 3.1049,                 1.1114,               0.068028,             0.00065248,             0.00065248
                      2,                 1.4464,                  1.771,                 1.1899,                0.83687,                0.55087,                 0.7492,                0.44882,                 1.2508,                 2.2436,                 1.1293,               0.035357,              0.0013148,              0.0013148
                      3,                 1.3426,                  1.326,                 1.1399,                0.74349,                 0.7457,                0.80532,                0.48013,                 1.3077,                 1.3416,                 1.1339,              0.0026819,              0.0019727,              0.0019727
                      4,                   1.33,                 1.2155,                 1.1354,                0.77535,                0.78747,                0.83162,                0.51598,                 1.2516,                 1.0657,                 1.1208,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.3144,                 1.1399,                 1.1219,                0.82301,                0.78022,                0.85572,                0.53126,                 1.2373,                 1.0124,                 1.1101,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.2911,                 1.0791,                 1.1086,                0.75684,                0.82861,                0.84664,                0.50775,                 1.2939,                 1.0194,                 1.1217,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.2771,                 1.0346,                 1.1022,                0.78835,                0.85459,                0.86375,                0.55143,                 1.2034,                0.94031,                 1.0963,               0.001967,               0.001967,               0.001967
                      8,                 1.2589,                0.98636,                 1.0871,                0.85063,                0.83221,                0.90957,                0.59705,                 1.1908,                0.83046,                  1.069,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.2451,                0.95936,                 1.0824,                0.84834,                0.85011,                0.90674,                0.58689,                  1.168,                0.84276,                 1.0748,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.2281,                0.92381,                 1.0731,                0.80486,                0.86353,                0.89732,                0.59258,                 1.1771,                 0.8332,                 1.0559,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.2137,                0.89838,                 1.0691,                0.85752,                0.87518,                0.93414,                0.60493,                 1.1667,                0.77699,                 1.0639,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.2056,                0.87596,                 1.0617,                0.81614,                0.82423,                0.86874,                0.51832,                 1.3069,                0.95708,                 1.1265,               0.001934,               0.001934,               0.001934
                     13,                 1.1992,                0.86111,                 1.0595,                0.84189,                0.87025,                0.90082,                 0.5726,                 1.2222,                0.83504,                 1.0828,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.1818,                0.85351,                 1.0557,                0.85242,                0.85011,                0.91667,                0.61034,                 1.1701,                0.75747,                 1.0567,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.1644,                0.82261,                 1.0428,                0.88747,                0.86577,                0.91556,                0.61533,                 1.1527,                0.74052,                 1.0543,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.1885,                0.83697,                 1.0532,                0.85218,                0.85122,                0.90352,                0.56557,                 1.2449,                 0.8104,                 1.0861,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.1518,                  0.792,                 1.0505,                0.87443,                0.86353,                0.92638,                0.62835,                 1.1033,                0.75052,                   1.04,               0.001901,               0.001901,               0.001901
                     18,                 1.1521,                0.78556,                  1.039,                0.88075,                0.87025,                0.92962,                0.63527,                 1.1294,                0.70522,                 1.0527,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.1515,                0.78482,                  1.041,                0.91695,                0.86456,                0.94406,                0.63913,                 1.1267,                0.67835,                 1.0361,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.1407,                0.76837,                  1.039,                0.90121,                0.87751,                0.94584,                0.64503,                 1.1038,                0.67494,                 1.0308,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.1305,                0.75693,                 1.0299,                0.83173,                0.84787,                0.90508,                0.61281,                  1.121,                0.76826,                 1.0419,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.1442,                  0.745,                 1.0359,                0.90326,                 0.8564,                0.93476,                0.62641,                 1.1241,                0.67796,                 1.0348,               0.001868,               0.001868,               0.001868
                     23,                 1.1263,                0.73693,                 1.0282,                 0.8935,                0.87025,                0.93617,                0.64125,                 1.1052,                0.65755,                 1.0345,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.1098,                0.72993,                 1.0228,                0.87929,                0.87025,                0.92681,                0.63716,                 1.0843,                0.69687,                 1.0197,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.1098,                0.71071,                 1.0219,                0.86856,                0.90157,                0.93726,                0.64064,                 1.1246,                0.66325,                 1.0399,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.1066,                0.70765,                 1.0209,                0.87985,                0.92394,                0.94908,                0.66338,                 1.0747,                0.63634,                 1.0155,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.1102,                0.70348,                 1.0272,                0.88467,                0.89231,                  0.942,                0.66447,                 1.0481,                0.62212,                 1.0235,               0.001835,               0.001835,               0.001835
                     28,                 1.1006,                0.69921,                 1.0177,                0.87783,                0.90828,                0.94575,                0.65558,                 1.0573,                0.61944,                 1.0125,              0.0018284,              0.0018284,              0.0018284
                     29,                 1.0887,                0.69108,                 1.0161,                0.91252,                0.86801,                0.94975,                0.66469,                 1.0561,                0.61555,                 1.0203,              0.0018218,              0.0018218,              0.0018218
                     30,                 1.0853,                0.68299,                 1.0133,                0.89394,                0.87696,                0.94786,                0.66766,                  1.061,                0.64925,                 1.0253,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.0773,                 0.6872,                 1.0101,                0.87676,                0.92314,                0.95387,                0.65775,                 1.1057,                  0.613,                 1.0259,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.0825,                0.67657,                 1.0142,                0.88933,                0.89883,                0.95702,                0.67901,                 1.0515,                0.60429,                 1.0168,               0.001802,               0.001802,               0.001802
                     33,                 1.0716,                0.66689,                 1.0034,                0.88295,                0.91129,                0.94955,                0.66106,                 1.0966,                0.59478,                 1.0191,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.0707,                0.65929,                 1.0074,                0.87056,                0.82756,                0.90109,                0.59243,                 1.1892,                0.70914,                 1.0737,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.0438,                0.64998,                0.99745,                0.89486,                 0.9396,                0.96543,                0.68196,                 1.0313,                0.55776,                 1.0029,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.0594,                0.64321,                 1.0065,                0.88169,                0.91723,                0.95628,                0.68389,                 1.0392,                0.57645,                 1.0003,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.0412,                 0.6403,                0.99494,                0.91591,                0.89485,                0.95513,                0.66535,                 1.0513,                0.57713,                 1.0086,               0.001769,               0.001769,               0.001769
                     38,                  1.061,                0.64355,                  1.003,                0.87763,                0.88249,                0.92585,                0.64681,                 1.0714,                0.63209,                 1.0139,              0.0017624,              0.0017624,              0.0017624
                     39,                  1.047,                 0.6337,                  0.998,                0.90128,                 0.9191,                0.95806,                0.69022,                 1.0243,                 0.5741,                0.99464,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.0388,                0.63526,                0.98936,                0.90082,                0.93468,                0.95441,                0.66353,                 1.0523,                0.56967,                 1.0158,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.0284,                0.62545,                0.99607,                0.91825,                0.92841,                0.95822,                 0.6812,                  1.041,                0.55138,                 1.0032,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.0269,                0.61726,                0.98934,                0.91382,                0.91051,                0.95021,                0.66894,                 1.0607,                 0.5702,                 1.0168,               0.001736,               0.001736,               0.001736
                     43,                 1.0128,                0.61341,                0.98544,                0.89553,                0.87919,                0.94342,                0.65623,                 1.0715,                0.61286,                 1.0156,              0.0017294,              0.0017294,              0.0017294
