                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4931,                 2.3935,                 1.2299,                0.87819,                 0.4464,                0.72436,                0.41519,                 1.3293,                 2.2967,                 1.1493,                0.00329,                0.00329,                0.00329
                      2,                 1.4904,                 1.4805,                 1.2248,                0.69257,                0.58204,                0.63963,                0.34509,                 1.5485,                 1.8744,                 1.3094,              0.0066015,              0.0066015,              0.0066015
                      3,                 1.5743,                 1.4767,                 1.2803,                0.48913,                0.39319,                0.36188,                0.16324,                 1.8994,                 2.0973,                  1.411,               0.009891,               0.009891,               0.009891
                      4,                 1.6696,                 1.5172,                 1.3599,                0.56114,                0.53837,                0.54042,                0.26668,                 1.6524,                 1.9059,                 1.4418,               0.009901,               0.009901,               0.009901
                      5,                  1.689,                  1.456,                 1.3761,                0.53309,                0.59133,                0.55657,                0.26149,                 1.6091,                 2.2001,                 1.5154,               0.009901,               0.009901,               0.009901
                      6,                 1.6475,                  1.364,                 1.3532,                0.34444,                0.36223,                0.25625,                0.08796,                 2.7894,                 2.4381,                 2.1879,               0.009868,               0.009868,               0.009868
                      7,                 1.6237,                 1.3181,                  1.341,                0.79531,                0.72177,                0.79548,                0.45481,                 1.4239,                 1.1648,                  1.297,               0.009835,               0.009835,               0.009835
                      8,                 1.5806,                 1.2581,                 1.3241,                0.65296,                0.69969,                0.70681,                0.39242,                 1.4653,                 1.5419,                 1.3164,               0.009802,               0.009802,               0.009802
                      9,                 1.5907,                   1.25,                 1.3299,                0.77061,                0.75923,                 0.7992,                0.45006,                 1.4569,                 1.1239,                 1.3219,               0.009769,               0.009769,               0.009769
                     10,                  1.551,                 1.2065,                 1.3145,                0.76652,                0.77246,                0.83082,                0.45384,                 1.4919,                 1.1092,                 1.3206,               0.009736,               0.009736,               0.009736
                     11,                  1.533,                 1.1747,                 1.3065,                0.76898,                0.79876,                0.84547,                0.49391,                 1.4538,                 1.0343,                 1.2887,               0.009703,               0.009703,               0.009703
                     12,                 1.5228,                 1.1818,                 1.3021,                0.80509,                 0.7678,                0.85165,                0.49908,                 1.3935,                 1.0083,                 1.2503,                0.00967,                0.00967,                0.00967
                     13,                 1.5327,                 1.1409,                 1.2997,                0.71523,                0.73093,                0.76244,                0.44561,                 1.4081,                 1.1605,                 1.2744,               0.009637,               0.009637,               0.009637
                     14,                  1.503,                 1.1203,                 1.2812,                0.74651,                0.81144,                0.82999,                0.49928,                 1.3051,                 1.0413,                 1.2086,               0.009604,               0.009604,               0.009604
                     15,                 1.5033,                 1.1253,                 1.2876,                0.82301,                0.77399,                0.87625,                0.51642,                 1.3928,                0.94923,                 1.2557,               0.009571,               0.009571,               0.009571
                     16,                 1.4892,                 1.1073,                 1.2846,                0.82167,                0.81311,                0.87853,                0.53459,                 1.3601,                0.91528,                 1.2398,               0.009538,               0.009538,               0.009538
                     17,                 1.4839,                 1.0699,                 1.2805,                0.77556,                0.78328,                0.83404,                0.47632,                 1.4618,                 1.0446,                 1.2871,               0.009505,               0.009505,               0.009505
                     18,                 1.4586,                  1.056,                  1.279,                0.81743,                0.78947,                0.84535,                0.50637,                 1.4307,                 1.0038,                   1.29,               0.009472,               0.009472,               0.009472
                     19,                 1.4714,                 1.0467,                 1.2713,                0.80478,                0.79876,                0.86271,                0.52459,                 1.3111,                  1.016,                 1.2404,               0.009439,               0.009439,               0.009439
                     20,                 1.4479,                 1.0342,                 1.2566,                0.82267,                0.76161,                0.85328,                0.51564,                 1.3666,                0.96193,                  1.223,               0.009406,               0.009406,               0.009406
                     21,                 1.4475,                 1.0309,                 1.2528,                0.87964,                0.85982,                0.91948,                0.56338,                 1.3228,                0.83245,                 1.2272,               0.009373,               0.009373,               0.009373
                     22,                 1.4429,                0.99909,                 1.2496,                0.78817,                0.74613,                0.82988,                0.48597,                 1.3919,                 1.0015,                 1.2625,                0.00934,                0.00934,                0.00934
                     23,                 1.4421,                 1.0003,                 1.2565,                0.79623,                0.78328,                0.84625,                0.50359,                 1.3578,                  1.091,                 1.2178,               0.009307,               0.009307,               0.009307
                     24,                 1.4088,                0.97342,                 1.2344,                0.84065,                0.81665,                0.88987,                0.55904,                 1.2764,                0.84894,                 1.1973,               0.009274,               0.009274,               0.009274
                     25,                 1.4504,                 1.0014,                 1.2609,                0.87342,                 0.8759,                0.93931,                 0.5869,                 1.2613,                0.78802,                 1.1772,               0.009241,               0.009241,               0.009241
                     26,                 1.4028,                0.98023,                 1.2308,                0.83201,                0.80495,                 0.8712,                0.53987,                 1.2914,                0.89839,                 1.1907,               0.009208,               0.009208,               0.009208
                     27,                 1.4081,                0.97135,                 1.2367,                0.84219,                0.80805,                0.87607,                0.52919,                 1.3591,                0.89982,                 1.2337,               0.009175,               0.009175,               0.009175
                     28,                 1.3959,                 0.9653,                 1.2371,                0.72587,                0.82799,                 0.8441,                0.50936,                 1.3229,                0.89433,                 1.2253,               0.009142,               0.009142,               0.009142
                     29,                 1.3891,                0.95643,                 1.2222,                0.81578,                0.83901,                0.89039,                0.54417,                 1.3342,                0.85547,                 1.2188,               0.009109,               0.009109,               0.009109
                     30,                 1.3791,                0.92746,                 1.2294,                0.81314,                0.78947,                0.86523,                0.52061,                   1.36,                0.91176,                  1.253,               0.009076,               0.009076,               0.009076
                     31,                 1.4057,                0.95002,                 1.2349,                0.82932,                0.81115,                0.88579,                0.53808,                 1.2764,                0.90922,                 1.1915,               0.009043,               0.009043,               0.009043
                     32,                  1.396,                0.93867,                 1.2322,                0.89935,                0.82353,                0.92903,                0.58969,                 1.2277,                0.74572,                 1.1594,                0.00901,                0.00901,                0.00901
                     33,                 1.3746,                0.92562,                  1.207,                0.87699,                0.83874,                0.91917,                0.56399,                 1.2871,                0.77723,                 1.1908,               0.008977,               0.008977,               0.008977
                     34,                  1.381,                0.93286,                 1.2146,                0.86502,                0.85139,                0.91333,                0.56297,                 1.2797,                0.80865,                 1.1858,               0.008944,               0.008944,               0.008944
                     35,                 1.3618,                0.91004,                 1.2076,                0.90989,                0.84211,                0.93926,                 0.5934,                 1.2543,                0.73992,                  1.156,               0.008911,               0.008911,               0.008911
                     36,                 1.3842,                0.92065,                 1.2117,                0.79018,                0.83946,                0.87804,                0.53051,                 1.3229,                0.86931,                 1.2029,               0.008878,               0.008878,               0.008878
                     37,                 1.3659,                 0.9147,                 1.2093,                0.89851,                0.84967,                0.93077,                0.60984,                  1.219,                0.74887,                 1.1567,               0.008845,               0.008845,               0.008845
                     38,                 1.3707,                0.90498,                 1.2105,                0.76263,                0.81424,                0.85447,                0.52498,                  1.327,                0.88628,                  1.227,               0.008812,               0.008812,               0.008812
                     39,                 1.3533,                0.89333,                 1.1954,                0.86441,                0.84211,                0.90409,                0.55979,                 1.2947,                0.78291,                 1.1829,               0.008779,               0.008779,               0.008779
                     40,                 1.3363,                0.87969,                  1.199,                0.90049,                0.84047,                0.92711,                0.58488,                 1.3086,                0.73386,                 1.1904,               0.008746,               0.008746,               0.008746
                     41,                 1.3474,                0.89506,                 1.2032,                0.80299,                0.81115,                0.86765,                0.52268,                  1.337,                0.85096,                 1.2303,               0.008713,               0.008713,               0.008713
                     42,                 1.3509,                0.87152,                 1.2024,                0.85965,                0.84211,                 0.9099,                 0.5822,                 1.2146,                0.77831,                 1.1551,                0.00868,                0.00868,                0.00868
                     43,                 1.3497,                0.89149,                 1.1989,                0.89496,                0.87051,                0.92287,                0.58943,                 1.2558,                 0.7567,                 1.1682,               0.008647,               0.008647,               0.008647
                     44,                 1.3347,                0.86195,                 1.1871,                0.86547,                0.85641,                0.91257,                0.59356,                 1.1866,                0.75109,                 1.1551,               0.008614,               0.008614,               0.008614
                     45,                 1.3374,                0.87708,                 1.1923,                0.85571,                 0.8813,                0.92607,                0.58909,                 1.2383,                0.75864,                  1.163,               0.008581,               0.008581,               0.008581
                     46,                 1.3374,                0.87516,                 1.1923,                0.86631,                0.87307,                 0.9316,                0.57862,                 1.2715,                0.76182,                 1.1927,               0.008548,               0.008548,               0.008548
                     47,                 1.3168,                0.86014,                 1.1891,                0.88536,                0.86079,                0.93306,                0.59824,                 1.2051,                0.74296,                 1.1498,               0.008515,               0.008515,               0.008515
                     48,                 1.3236,                0.86992,                 1.1873,                0.85487,                0.85139,                 0.9028,                0.57504,                 1.2775,                0.79288,                 1.1732,               0.008482,               0.008482,               0.008482
