                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5578,                  1.594,                 1.2701,                 0.6312,                0.60756,                0.65132,                0.33597,                 1.4881,                 2.2566,                 1.2458,                 0.0675,             0.00066327,             0.00066327
                      2,                 1.5629,                 1.3271,                 1.3027,                0.63007,                0.66357,                  0.674,                0.34329,                 1.5809,                 1.3283,                 1.3093,               0.034829,              0.0013255,              0.0013255
                      3,                  1.578,                 1.3251,                 1.3144,                0.53895,                0.60325,                0.56078,                0.28567,                 1.6042,                 1.8708,                 1.3662,              0.0021535,              0.0019834,              0.0019834
                      4,                 1.5704,                 1.2999,                 1.3151,                0.55973,                0.61949,                0.58191,                0.29114,                 1.6002,                 1.6024,                 1.4052,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.5252,                 1.2373,                 1.3013,                0.76069,                0.68445,                0.76662,                0.43471,                 1.4302,                 1.1934,                 1.2672,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.4985,                 1.1854,                 1.2745,                0.80622,                0.70469,                0.81096,                0.45966,                 1.4493,                 1.1175,                 1.2495,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.5043,                 1.1533,                 1.2857,                0.72962,                0.78422,                0.82208,                0.48439,                 1.4156,                 1.0742,                 1.2548,               0.001967,               0.001967,               0.001967
                      8,                 1.4887,                 1.1771,                 1.2816,                 0.7433,                0.73086,                0.78319,                0.47139,                 1.3644,                 1.1128,                 1.2186,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.4776,                 1.1055,                 1.2607,                0.76387,                0.77311,                0.82163,                 0.4736,                 1.4368,                 1.0158,                 1.2391,              0.0019538,              0.0019538,              0.0019538
                     10,                  1.464,                 1.0963,                  1.253,                0.73827,                0.77958,                0.80366,                0.49216,                 1.2802,                 1.0797,                 1.1679,              0.0019472,              0.0019472,              0.0019472
                     11,                  1.454,                 1.0733,                 1.2492,                 0.7815,                0.76566,                 0.8314,                0.50507,                 1.3186,                 1.0812,                 1.1681,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.4079,                 1.0236,                 1.2259,                0.76064,                0.74942,                0.79788,                0.48755,                 1.3349,                 1.0618,                 1.1869,               0.001934,               0.001934,               0.001934
                     13,                 1.4097,                 1.0066,                 1.2298,                0.84933,                0.78472,                0.87335,                0.53106,                 1.3005,                0.88579,                 1.1848,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.3929,                0.98855,                 1.2194,                0.79557,                0.82167,                0.86474,                0.53221,                 1.2966,                0.91376,                 1.1681,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.3681,                0.98706,                 1.2079,                0.76276,                0.80566,                0.85182,                0.52592,                 1.3198,                0.89439,                 1.2092,              0.0019142,              0.0019142,              0.0019142
                     16,                   1.36,                0.96008,                 1.1973,                0.78177,                 0.8051,                0.86444,                0.54803,                 1.2663,                0.88585,                 1.1829,              0.0019076,              0.0019076,              0.0019076
