                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4786,                 2.5267,                 1.1859,                0.64993,                0.58523,                0.58893,                0.33561,                 1.4185,                 2.1921,                 1.2307,              0.0033114,              0.0033114,              0.0033114
                      2,                 1.4777,                  1.713,                 1.2096,                0.71696,                0.69082,                0.72429,                0.41334,                 1.4745,                 1.5116,                 1.2499,              0.0066228,              0.0066228,              0.0066228
                      3,                 1.5565,                 1.5977,                 1.2609,                 0.5192,                0.56534,                0.50541,                0.25471,                  1.654,                 2.0187,                 1.3392,              0.0099122,              0.0099122,              0.0099122
                      4,                 1.6553,                 1.5409,                 1.3321,                 0.6009,                0.53896,                0.57531,                0.29047,                 1.6457,                 1.8279,                 1.3792,               0.009901,               0.009901,               0.009901
                      5,                   1.62,                 1.4544,                 1.3222,                  0.549,                0.59659,                0.60252,                0.31895,                 1.6585,                 1.7085,                 1.3985,               0.009901,               0.009901,               0.009901
                      6,                 1.5703,                   1.34,                 1.3061,                0.42271,                0.41477,                0.37872,                0.18172,                 1.9158,                 2.0739,                 1.5262,               0.009868,               0.009868,               0.009868
                      7,                 1.5953,                 1.3019,                 1.3162,                0.69519,                0.65909,                0.73088,                0.42855,                 1.4918,                  1.216,                 1.2794,               0.009835,               0.009835,               0.009835
                      8,                  1.535,                 1.2433,                 1.2842,                0.59638,                0.58807,                0.59559,                0.31605,                 1.6513,                 1.5615,                 1.3862,               0.009802,               0.009802,               0.009802
                      9,                 1.5473,                 1.2166,                 1.2962,                0.68926,                0.64773,                0.67802,                0.35418,                  1.654,                 1.2463,                 1.3554,               0.009769,               0.009769,               0.009769
                     10,                 1.5234,                 1.1902,                 1.2682,                0.57339,                0.56818,                0.59262,                0.31365,                  1.733,                 1.5279,                 1.3925,               0.009736,               0.009736,               0.009736
                     11,                 1.5116,                 1.1565,                 1.2607,                0.74965,                0.75852,                0.76477,                0.42574,                 1.5378,                  1.097,                 1.3223,               0.009703,               0.009703,               0.009703
                     12,                 1.5207,                 1.1923,                 1.2778,                0.77079,                0.75471,                0.79902,                0.46478,                 1.4838,                 1.0559,                 1.2732,                0.00967,                0.00967,                0.00967
                     13,                 1.4887,                 1.1295,                 1.2696,                0.68501,                0.74148,                0.76483,                0.44029,                 1.4845,                 1.1981,                 1.2917,               0.009637,               0.009637,               0.009637
                     14,                  1.462,                  1.111,                 1.2558,                0.70775,                0.71023,                0.76819,                0.44163,                 1.4805,                 1.0816,                 1.2852,               0.009604,               0.009604,               0.009604
                     15,                 1.4517,                 1.0975,                  1.251,                 0.7462,                0.76136,                    0.8,                0.46034,                  1.441,                 1.0586,                 1.2736,               0.009571,               0.009571,               0.009571
                     16,                 1.4518,                 1.0764,                 1.2413,                 0.7827,                0.74148,                0.78418,                0.46237,                 1.3961,                 1.0402,                 1.2348,               0.009538,               0.009538,               0.009538
                     17,                  1.451,                 1.0637,                 1.2368,                0.78801,                0.72868,                0.81456,                 0.4746,                 1.4155,                 1.0204,                  1.236,               0.009505,               0.009505,               0.009505
                     18,                 1.4284,                 1.0367,                 1.2297,                 0.7668,                0.79403,                0.84025,                0.52444,                 1.3798,                0.92632,                 1.2349,               0.009472,               0.009472,               0.009472
                     19,                 1.4208,                 1.0312,                 1.2251,                0.65211,                0.67629,                0.68582,                0.37019,                 1.5925,                 1.2035,                 1.3215,               0.009439,               0.009439,               0.009439
                     20,                 1.4191,                  1.014,                 1.2225,                 0.7688,                 0.8267,                0.85806,                0.52162,                 1.3277,                0.94046,                 1.1983,               0.009406,               0.009406,               0.009406
                     21,                 1.4006,                  1.018,                 1.2183,                 0.7966,                0.69602,                0.79961,                0.47076,                 1.3818,                 1.0701,                 1.2116,               0.009373,               0.009373,               0.009373
                     22,                 1.4117,                 1.0021,                 1.2235,                0.79101,                0.78977,                0.85404,                0.51921,                 1.3664,                0.88615,                 1.2215,                0.00934,                0.00934,                0.00934
                     23,                 1.3805,                0.97215,                 1.1989,                 0.8189,                0.74716,                0.85437,                0.52474,                 1.3663,                0.90271,                 1.2043,               0.009307,               0.009307,               0.009307
                     24,                 1.3923,                0.96665,                 1.2192,                 0.7965,                 0.8117,                 0.8609,                0.52245,                 1.4163,                0.89972,                 1.2544,               0.009274,               0.009274,               0.009274
                     25,                 1.3842,                0.95234,                 1.2062,                0.83347,                0.78199,                0.88092,                0.55677,                 1.2915,                0.83847,                 1.1745,               0.009241,               0.009241,               0.009241
                     26,                 1.3604,                0.93832,                   1.19,                0.76678,                0.77527,                 0.8127,                0.47107,                 1.3757,                0.94495,                 1.2164,               0.009208,               0.009208,               0.009208
                     27,                 1.3688,                0.95745,                    1.2,                0.83355,                0.79545,                0.87557,                0.56359,                  1.307,                 0.8765,                 1.1816,               0.009175,               0.009175,               0.009175
